	Match	Place	Latitude	Longitude	Time
70	England vs Pakistan, 3rd ODI	Trent Bridge, Nottingham	52.937772	-1.1313849	01:00 PM  GMT  / 02:00 PM LOCAL
71	South Africa vs New Zealand, 2nd Test	SuperSport Park, Centurion	-25.864029	28.0888578	12:00 AM  GMT  / 02:00 AM LOCAL
72	Sri Lanka vs Australia, 4th ODI	Rangiri Dambulla International Stadium, Dambulla	7.8985219	80.6770787	12:00 AM  GMT  / 05:30 AM LOCAL
73	England vs Pakistan, 4th ODI	Headingley, Leeds	53.8215574	-1.5757947	01:00 PM  GMT  / 02:00 PM LOCAL
74	England vs Pakistan, 5th ODI	Sophia Gardens, Cardiff	51.484295	-3.1895088	09:30 AM  GMT  / 10:30 AM LOCAL
75	Sri Lanka vs Australia, 5th ODI	Pallekele International Cricket Stadium, Pallekele	7.2801042	80.7020359	12:00 AM  GMT  / 05:30 AM LOCAL
76	Ireland vs Hong Kong, 1st T20I	Bready Cricket Club, Bready, Northern Ireland	54.9355531	-7.377361899999999	02:30 AM  GMT  / 03:30 AM LOCAL
77	Sri Lanka vs Australia, 1st T20I	Pallekele International Cricket Stadium, Pallekele	7.2801042	80.7020359	12:00 AM  GMT  / 05:30 AM LOCAL
78	Ireland vs Hong Kong, 2nd T20I	Bready Cricket Club, Bready, Northern Ireland	54.9355531	-7.377361899999999	02:30 AM  GMT  / 03:30 AM LOCAL
79	England vs Pakistan, Only T20I	Old Trafford, Manchester	53.46165999999999	-2.271707	05:30 PM  GMT  / 06:30 PM LOCAL
80	Scotland vs Hong Kong, 1st ODI	Grange Cricket Club, Edinburgh	55.93133959999999	-3.189465	09:45 AM  GMT  / 10:45 AM LOCAL
81	Sri Lanka vs Australia, 2nd T20I	R.Premadasa Stadium, Colombo	6.9270786	79.861243	12:00 AM  GMT  / 05:30 AM LOCAL
82	South Africa Women vs Bangladesh Women, 1st ODI	Senwes Park, Potchefstroom	-26.7145297	27.0970475	12:00 AM  GMT  / 02:00 AM LOCAL
83	Scotland vs Hong Kong, 2nd ODI	Grange Cricket Club, Edinburgh	55.93133959999999	-3.189465	09:45 AM  GMT  / 10:45 AM LOCAL
84	South Africa Women vs Bangladesh Women, 2nd ODI	Senwes Park, Potchefstroom	-26.7145297	27.0970475	12:00 AM  GMT  / 02:00 AM LOCAL
85	South Africa Women vs Bangladesh Women, 3rd ODI	Diamond Oval, Kimberley	49.679984	-115.983672	12:00 AM  GMT  / 02:00 AM LOCAL
86	South Africa Women vs Bangladesh Women, 4th ODI	Diamond Oval, Kimberley	49.679984	-115.983672	12:00 AM  GMT  / 02:00 AM LOCAL
87	South Africa Women vs Bangladesh Women, 5th ODI	Mangaung Oval, Bloemfontein	-29.085214	26.1595761	12:00 AM  GMT  / 02:00 AM LOCAL
88	South Africa Women vs Bangladesh Women, 1st T20I	Mangaung Oval, Bloemfontein	-29.085214	26.1595761	12:00 AM  GMT  / 02:00 AM LOCAL
89	South Africa Women vs Bangladesh Women, 2nd T20I	Mangaung Oval, Bloemfontein	-29.085214	26.1595761	12:00 AM  GMT  / 02:00 AM LOCAL
90	South Africa vs Ireland, 1st ODI	Willowmoore Park, Benoni	-26.1510854	28.3695699	12:00 AM  GMT  / 02:00 AM LOCAL
91	South Africa Women vs Bangladesh Women, 3rd T20I	Mangaung Oval, Bloemfontein	-29.085214	26.1595761	12:00 AM  GMT  / 02:00 AM LOCAL
92	Ireland vs Australia, 2nd ODI	Willowmoore Park, Benoni	-26.1510854	28.3695699	12:00 AM  GMT  / 02:00 AM LOCAL
93	South Africa vs Australia, 1st ODI	SuperSport Park, Centurion	-25.864029	28.0888578	12:00 AM  GMT  / 02:00 AM LOCAL
94	South Africa vs Australia, 2nd ODI	The Wanderers Stadium, Johannesburg	-26.1906174	28.0257739	12:00 AM  GMT  / 02:00 AM LOCAL
95	South Africa vs Australia, 3rd ODI	Kingsmead, Durban	-29.8480046	31.0284445	12:00 AM  GMT  / 02:00 AM LOCAL
96	West Indies Women vs England Women, 1st ODI	Trelawny Stadium, Trelawny, Jamaica	18.3526143	-77.6077865	12:00 AM  GMT  / 07:00 PM LOCAL
97	South Africa Women vs New Zealand Women, 1st ODI	Diamond Oval, Kimberley	49.679984	-115.983672	12:00 AM  GMT  / 02:00 AM LOCAL
98	South Africa vs Australia, 4th ODI	St George's Park, Port Elizabeth	-33.8252617	25.6544677	12:00 AM  GMT  / 02:00 AM LOCAL
99	West Indies Women vs England Women, 2nd ODI	Trelawny Stadium, Trelawny, Jamaica	18.3526143	-77.6077865	12:00 AM  GMT  / 07:00 PM LOCAL
100	South Africa Women vs New Zealand Women, 2nd ODI	Diamond Oval, Kimberley	49.679984	-115.983672	12:00 AM  GMT  / 02:00 AM LOCAL
101	South Africa vs Australia, 5th ODI	Newlands, Cape Town	-33.9789129	18.4483763	12:00 AM  GMT  / 02:00 AM LOCAL
102	South Africa Women vs New Zealand Women, 3rd ODI	Diamond Oval, Kimberley	49.679984	-115.983672	12:00 AM  GMT  / 02:00 AM LOCAL
103	West Indies Women vs England Women, 3rd ODI	Sabina Park, Kingston, Jamaica	17.9779338	-76.78252169999999	12:00 AM  GMT  / 07:00 PM LOCAL
104	West Indies Women vs England Women, 4th ODI	Sabina Park, Kingston, Jamaica	17.9779338	-76.78252169999999	12:00 AM  GMT  / 07:00 PM LOCAL
105	South Africa Women vs New Zealand Women, 4th ODI	Boland Park, Paarl	-33.7143719	18.9810746	12:00 AM  GMT  / 02:00 AM LOCAL
106	West Indies Women vs England Women, 5th ODI	Sabina Park, Kingston, Jamaica	17.9779338	-76.78252169999999	12:00 AM  GMT  / 07:00 PM LOCAL
107	South Africa Women vs New Zealand Women, 5th ODI	TBC, TBC	36.0845812	-111.3797378	12:00 AM  GMT  / 05:30 AM LOCAL
108	South Africa Women vs New Zealand Women, 6th ODI	Boland Park, Paarl	-33.7143719	18.9810746	12:00 AM  GMT  / 02:00 AM LOCAL
109	South Africa Women vs New Zealand Women, 7th ODI	Boland Park, Paarl	-33.7143719	18.9810746	12:00 AM  GMT  / 02:00 AM LOCAL
110	Australia vs South Africa, 1st Test	W.A.C.A. Ground, Perth	-31.94647449999999	115.7905402	02:30 AM  GMT  / 10:30 AM LOCAL
111	Australia vs South Africa, 1st Test	W.A.C.A. Ground, Perth	-31.94647449999999	115.7905402	02:30 AM  GMT  / 10:30 AM LOCAL
112	Australia vs South Africa, 1st Test	W.A.C.A. Ground, Perth	-31.94647449999999	115.7905402	02:30 AM  GMT  / 10:30 AM LOCAL
113	Australia vs South Africa, 1st Test	W.A.C.A. Ground, Perth	-31.94647449999999	115.7905402	02:30 AM  GMT  / 10:30 AM LOCAL
114	Australia vs South Africa, 1st Test	W.A.C.A. Ground, Perth	-31.94647449999999	115.7905402	02:30 AM  GMT  / 10:30 AM LOCAL
115	Australia vs South Africa, 2nd Test	Bellerive Oval, Hobart	-42.87630559999999	147.3733529	11:30 PM  GMT  (Nov 11)  / 10:30 AM LOCAL
116	Australia vs South Africa, 2nd Test	Bellerive Oval, Hobart	-42.87630559999999	147.3733529	11:30 PM  GMT  (Nov 12)  / 10:30 AM LOCAL
117	Australia vs South Africa, 2nd Test	Bellerive Oval, Hobart	-42.87630559999999	147.3733529	11:30 PM  GMT  (Nov 13)  / 10:30 AM LOCAL
